Qidentifier	Qtitle	Qpagename	Qsubtitle	Qetymology	Qdefinition	Qsubmitted	Qemailaddress	QDateSubmitted	Qposter	QPosterEmail	QDateEdited	QUpdateDescription
Identifier	Word	Page Name	Part of Speech	Etymology	Definition	Submitted By	E-mail Address	Date Submitted	Updated By	Your E-mail Address	Date Edited	Description Of Update
Identifier	Title	PageName	Text	Subtitle	Text	Name	Text	Date	Name	Text	Date	Text
Never	Always	Never	Sometimes	Sometimes	Always	Always	Never	Sometimes	Sometimes	Never	Sometimes	Sometimes
Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed
Uneditable	Required	Uneditable	Optional	Optional	Required	Uneditable	Uneditable	Uneditable	Re-enter	Re-enter	Uneditable	Re-enter
 2959 	margarmmam	dbx_m_index.htm#margarmmam	n.	ocean+communication-unit+mammal	dolphin (Delphinidae)	HMM	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 3481 	natincah	dbx_n_index.htm#natincah	n.	nation+{abstraction}	fatherland	DME	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 3482 	natincon	dbx_n_index.htm#natincon	n.	nation+{opposite}	ethnos	DME	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 789 	cafazvosp	dbx_c_index.htm#cafazvosp	n.	jump+arachnid	jumping spider	HMM	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 2212 	gerdargcah	dbx_g_index.htm#gerdargcah	n.	all-sides+road+{abstraction}	circuit	FW	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 3485 	natinlet	dbx_n_index.htm#natinlet	n.	nation+{diminutive}	micronation -- a constructed nation	DME	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 3486 	natinlet	dbx_n_index.htm#natinlet	n.	nation+{diminutive}	region, state (in USA), province (in Canada), shire (in England), Land (in Germany), republic (in former USSR and former Yugoslavia)	DME	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 740 	budcah	dbx_b_index.htm#budcah	n.	future+{abstraction}	future generations	DME	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 3043 	marrept	dbx_m_index.htm#marrept	n.	ocean+reptile	sea snake	HMM	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 4364 	solhir	dbx_s_index.htm#solhir	n.	Sun+bird	sunbird (Nectariniidae)	HMM	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 4369 	solmin	dbx_s_index.htm#solmin	n.	Sun+fish	sunfish (Mola)	HMM	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 3489 	natinton	dbx_n_index.htm#natinton	n.	nation+{augmentative}	empire	DME	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 4374 	solsirccahtemp	dbx_s_index.htm#solsirccahtemp	n.	Sun+circle+{abstraction}+time	year -- time around the sun	FW	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 2445 	hirlet	dbx_h_index.htm#hirlet	n.	bird+{diminutive}	warbler, etc. -- general word for small songbirds	HMM	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 5065 	zupcon	dbx_z_index.htm#zupcon	n.	off+{opposite}	on	FW	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 1247 	citabsisp	dbx_c_index.htm#citabsisp	n.	book+insect	bookworm	HMM	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 5072 	zupzupcon	dbx_z_index.htm#zupzupcon	n.	off+off+{opposite}	switch	FW	Proofread	12/10/99 	NA	NA	12/10/99 	NA
 2100 	fonmal	dbx_f_index.htm#fonmal	n.	sound+disparagement	noise - sound of any kind (esp. unintelligible or dissonant sound)	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4159 	sebconcelebper	dbx_s_index.htm#sebconcelebper	n.	self+{opposite}+play+person	umpire, referee -- the chief official expected to insure fair play	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4160 	sebconcont	dbx_s_index.htm#sebconcont	n.	self+{opposite}+control	submission, surrender -- verbal act of admitting defeat	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4161 	sebcongarm	dbx_s_index.htm#sebcongarm	n.	self+{opposite}+communication-unit	quotation,quote, citation -- a passage or expression that is quoted	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4162 	sebcongurp	dbx_s_index.htm#sebcongurp	n.	self+{opposite}+group	union -- an organisation of employees formed to bargain with an employer	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4163 	sebconpub	dbx_s_index.htm#sebconpub	n.	self+{opposite}+people-group	team, squad -- a cooperative unit	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2101 	fonmer	dbx_f_index.htm#fonmer	n.	sound+measure	tone, pitch -- property of sound that varies with the frequency of vibration	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1726 	devdon	dbx_d_index.htm#devdon	n.	god+gift	right -- abstract idea of that which is due to a person or governmental body by law, tradition, or nature	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1727 	devfan	dbx_d_index.htm#devfan	n.	god+art	magic -- any art that appears to invoke supernatural powers	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3379 	murlcand	dbx_m_index.htm#murlcand	n.	wall+hole	window -- a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3380 	murlcandcumah	dbx_m_index.htm#murlcandcumah	n.	wall+hole+cloth	curtain -- hanging cloth used as a blind	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2106 	fonsens	dbx_f_index.htm#fonsens	n.	sound+sense	hearing -- the auditory faculty	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1481 	cordgurp	dbx_c_index.htm#cordgurp	n.	string+group	cushion -- a soft bag filled with air or a mass of padding such as feathers, foam, rubber, etc.	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1729 	devgarm	dbx_d_index.htm#devgarm	n.	god+communication-unit	prayer -- reverent petition to a deity	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4187 	semnobil	dbx_s_index.htm#semnobil	n.	seven+noble	baron/baronness	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4188 	semnobilmas	dbx_s_index.htm#semnobilmas	n.	seven+noble+{masculine}	baron	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4189 	semnobilses	dbx_s_index.htm#semnobilses	n.	seven+noble+{feminine}	baronness	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1730 	devgarmmal	dbx_d_index.htm#devgarmmal	n.	god+communication-unit+disparagement	curse, condemnation, malediction, damnation -- a ceremonial prayer invoking divine wrath	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1732 	devhasal	dbx_d_index.htm#devhasal	n.	god+event	miracle -- a marvellous event manifesting a supernatural act	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4201 	senorlet	dbx_s_index.htm#senorlet	n.	Mr.+{diminutive}	general term of polite address for unmarried person	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1733 	devhazarmest	dbx_d_index.htm#devhazarmest	n.	god+tree+site	forest, woods -- land that is covered with trees and shrubs the place itself	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3387 	musicdabhim	dbx_m_index.htm#musicdabhim	n.	music+pressing+tool	key	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 2113 	fontconmovo	dbx_f_index.htm#fontconmovo	prep.	front+{opposite}+movement+{preposition}	past (behind) -- motion preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2114 	fontcono	dbx_f_index.htm#fontcono	prep.	front+{opposite}+{preposition}	behind -- position preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2115 	fontconped	dbx_f_index.htm#fontconped	n.	front+{opposite}+foot	heel -- the back part of the human foot	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2116 	fontconsadits	dbx_f_index.htm#fontconsadits	n.	front+{opposite}+sitting-position	squat -- sit on one's heels [v	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2117 	fontcontempo	dbx_f_index.htm#fontcontempo	prep.	front+{opposite}+time+{preposition}	at (exactly) -- time preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2118 	fontcontempu	dbx_f_index.htm#fontcontempu	v.	front+{opposite}+time+{verb}	exactly when -- clause conjunction	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1482 	cordgurpbin	dbx_c_index.htm#cordgurpbin	n.	string+group+building	tent -- a portable shelter of leather, canvas or other fabric stretched over a framework of poles	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2635 	lancah	dbx_l_index.htm#lancah	n.	face+{abstraction}	appearance, impression -- outward or visible aspect of a person, place or thing	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2636 	lancam	dbx_l_index.htm#lancam	n.	face+garment	veil, head covering -- a garment that covers the head and face	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2121 	fontmovo	dbx_f_index.htm#fontmovo	prep.	front+movement+{preposition}	past (in front of) -- motion preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2122 	fonto	dbx_f_index.htm#fonto	prep.	front+{preposition}	in front of [pr] -- ahead of the anterior of an object	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2123 	fonto	dbx_f_index.htm#fonto	prep.	front+{preposition}	in front of -- position preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2125 	fonttempo	dbx_f_index.htm#fonttempo	prep.	front+time+{preposition}	at (exactly) -- time preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2126 	fonttempu	dbx_f_index.htm#fonttempu	v.	front+time+{verb}	exactly when -- clause conjunction	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4247 	sethacara	dbx_s_index.htm#sethacara	n. modif.	set+form+{noun-modifier}	in perfect order, neat, tidy	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 4248 	sethacarcona	dbx_s_index.htm#sethacarcona	n. modif.	set+form+{opposite}+{noun-modifier}	unkempt -- characterized by absence of neatness	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 4249 	sethacarconmest	dbx_s_index.htm#sethacarconmest	n.	set+form+{opposite}+site	pigsty -- an incredibly unkempt place	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 2642 	langcon	dbx_l_index.htm#langcon	n.	{long-object}+{opposite}	short -- not having great length	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1483 	cordhim	dbx_c_index.htm#cordhim	n.	string+tool	needle -- a sharp, pointed, usu. steel instrument	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1485 	cordjoru	dbx_c_index.htm#cordjoru	v.	string+connection+{verb}	knit -- make textiles by linking yarn threads together [v	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2647 	langdentmam	dbx_l_index.htm#langdentmam	n.	{long-object}+tooth+mammal	walrus (Odobenus rosmarus)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1739 	devmest	dbx_d_index.htm#devmest	n.	god+site	heaven -- the abode of God and the angels	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1486 	cordjorvas	dbx_c_index.htm#cordjorvas	n.	string+connection+container	basket -- a container, usu. woven, usu. has handles	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3416 	narmcon	dbx_n_index.htm#narmcon	n.	soft-object+{opposite}	firm -- not soft or yielding to pressure [aj	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3417 	narmcon	dbx_n_index.htm#narmcon	n.	soft-object+{opposite}	hard, firm, resistant to pressure [aj	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3428 	narmvolsmuh	dbx_n_index.htm#narmvolsmuh	n.	soft-object+hair+rodent	chinchilla (Chinchilla)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 695 	bezmest	dbx_b_index.htm#bezmest	n.	absence+site	space, room, void -- an empty area	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2137 	forllet	dbx_f_index.htm#forllet	n.	flower+{diminutive}	bud -- a partially opened flower or a swelling on a plant stem consisting of overlapping immature leaves or petals	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2667 	langnogmuh	dbx_l_index.htm#langnogmuh	n.	{long-object}+limb+rodent	mara (Dolichotis)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3431 	nascancvolsmam	dbx_n_index.htm#nascancvolsmam	n.	nose+shell+hair+mammal	rhinoceros (Rhinocerotidae)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2668 	langpedmuh	dbx_l_index.htm#langpedmuh	n.	{long-object}+foot+rodent	jerboa (Dipodidae)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 994 	captlet	dbx_c_index.htm#captlet	n.	leader+{diminutive}	lesser animal in pack leadership	CRH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1490 	cordton	dbx_c_index.htm#cordton	n.	string+{augmentative}	cord -- a cable made of twisted twine, fibers or threads	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2142 	forlpant	dbx_f_index.htm#forlpant	n.	flower+plant	flower -- a plant cultivated for its bloom or blossom	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1491 	cordvas	dbx_c_index.htm#cordvas	n.	string+container	spool -- reel upon which thread, tape, film or other flexible materials can be wound	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1492 	cordvuh	dbx_c_index.htm#cordvuh	n.	string+weapon	whip -- instrument with a handle and flexible lash that is used for whipping	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2682 	lansletbar	dbx_l_index.htm#lansletbar	n.	spear+{diminutive}+bar	bow for arrows -- curved piece of resiliant wood with taut cord to propel arrows	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 995 	captmas	dbx_c_index.htm#captmas	n.	leader+{masculine}	patriarchal leadership order	CRH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1748 	devsisp	dbx_d_index.htm#devsisp	n.	god+insect	mantis, mantid -- predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2147 	forlsucar	dbx_f_index.htm#forlsucar	n.	flower+sugar	nectar	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2149 	forlsucarjebmam	dbx_f_index.htm#forlsucarjebmam	n.	flower+sugar+pocket+mammal	honey possum (Tarsipes rostratus)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3452 	nascsetduv	dbx_n_index.htm#nascsetduv	n.	birth+set+two	twin -- either of 2 offspring born at the same time	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3453 	nascsethar	dbx_n_index.htm#nascsethar	n.	birth+set+four	quadruplet -- either of 4 offspring born at the same time	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3454 	nascsetpen	dbx_n_index.htm#nascsetpen	n.	birth+set+five	quintuplet  -- either of 5 offspring born at the same time	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3455 	nascsetsem	dbx_n_index.htm#nascsetsem	n.	birth+set+seven	septuplet -- either of 7 offspring born at the same time	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3456 	nascsetsis	dbx_n_index.htm#nascsetsis	n.	birth+set+six	sextuplet -- either of 6 offspring born at the same time	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3457 	nascsetter	dbx_n_index.htm#nascsetter	n.	birth+set+three	triplet -- either of 3 offspring born at the same time	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3458 	nascsetvan	dbx_n_index.htm#nascsetvan	n.	birth+set+one	singleton -- an only child	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 996 	captses	dbx_c_index.htm#captses	n.	leader+{feminine}	matriarchal leadership order	CRH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 594 	bahcon	dbx_b_index.htm#bahcon	n.	outside+{opposite}	inside -- the space within the inner surface	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1751 	devsist	dbx_d_index.htm#devsist	n.	god+system	religion, faith, religious belief -- belief in a supernatural power or powers that control human destiny	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2696 	lantopcon	dbx_l_index.htm#lantopcon	n.	face+top+{opposite}	chin	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2697 	lantopconvols	dbx_l_index.htm#lantopconvols	n.	face+top+{opposite}+hair	beard	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1752 	devsist	dbx_d_index.htm#devsist	n.	god+system	religion, faith, church -- institution to express belief in a divine power	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3478 	natcolormater	dbx_n_index.htm#natcolormater	n.	nature+color+matter	natural dye	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 3480 	natconcolormater	dbx_n_index.htm#natconcolormater	n.	nature+{opposite}+color+matter	dye -- an artificial coloring substance	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 4322 	sisnobil	dbx_s_index.htm#sisnobil	n.	six+noble	count/countess	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4323 	sisnobilmas	dbx_s_index.htm#sisnobilmas	n.	six+noble+{masculine}	count	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4324 	sisnobilses	dbx_s_index.htm#sisnobilses	n.	six+noble+{feminine}	countess	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1753 	devsistcact	dbx_d_index.htm#devsistcact	n.	god+system+action	rite -- an established ceremony prescribed by a religion	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2700 	lanvols	dbx_l_index.htm#lanvols	n.	face+hair	beard, whiskers -- the hair growing on the lower part of a man's face	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1095 	carsmortcondin	dbx_c_index.htm#carsmortcondin	n.	cross+death+{opposite}+day	Easter -- Christian celebration of the ascension of Christ	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4336 	sispmam	dbx_s_index.htm#sispmam	n.	insect+mammal	shrew (Soricidae)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1755 	devsuc	dbx_d_index.htm#devsuc	n.	god+happiness	enthusiasm, zeal -- a feeling of strong eagerness (usu. in favor of a person or cause)	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2159 	formgurp	dbx_f_index.htm#formgurp	n.	form+group	pile, heap -- a collection of objects laid on top of each other	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1756 	devsucio	dbx_d_index.htm#devsucio	n.	god+happiness+{preposition}+{opposite}	I express enthusiasm, zeal -- a feeling of strong eagerness (usu. in favour of a person or cause)	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1757 	devsucper	dbx_d_index.htm#devsucper	n.	god+happiness+person	angel -- spiritual being attendant upon God	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1759 	devval	dbx_d_index.htm#devval	n.	god+worthiness	priest, clergyman, minister, spiritual leader, elder -- a leader in religious or sacred affairs	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2166 	fortcon	dbx_f_index.htm#fortcon	n.	{strong-object}+{opposite}	weakness -- flaw or weak point	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2169 	forthocolatbar	dbx_f_index.htm#forthocolatbar	n.	{strong-object}+chocolate+bar	power bar -- a flavored chocolate bar with nutritional supplements designed to provide quick energy to high-training athletes (such as the tigermalactbar, of course!)	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 2174 	fortton	dbx_f_index.htm#fortton	n.	{strong-object}+{augmentative}	strong -- having strength or power greater than average or expected [aj	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1497 	corectcon	dbx_c_index.htm#corectcon	n.	correct+{opposite}	wrong, incorrect -- not correct [aj	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2178 	furtluftmam	dbx_f_index.htm#furtluftmam	n.	fruit+air+mammal	fruit bat (Pteropodidae)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1761 	devvis	dbx_d_index.htm#devvis	n.	god+sight	revelation -- a spiritual, enlightening or mystical vision or disclosure	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 998 	captton	dbx_c_index.htm#captton	n.	leader+{augmentative}	that which assists the alpha animal in it's pack or herd	CRH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2714 	lete	dbx_l_index.htm#lete	v. modif.	{diminutive}+{verb-modifier}	little -- to a small degree	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1762 	difcon	dbx_d_index.htm#difcon	n.	{difficult-task}+{opposite}	easy task -- something requiring relatively little effort to accomplish, comprehend or endure [scalar	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3512 	nerconluc	dbx_n_index.htm#nerconluc	n.	black+{opposite}+allium	onion -- bulbous plant (Allium cepa) having hollow leaves cultivated worldwide for its rounded edible bulb	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3515 	nerconmetaltom	dbx_n_index.htm#nerconmetaltom	n.	black+{opposite}+metal+atom	silver, Ag -- a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3517 	nerconrun	dbx_n_index.htm#nerconrun	n.	black+{opposite}+red	pink -- a light shade of red	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3524 	nerconvathir	dbx_n_index.htm#nerconvathir	n.	black+{opposite}+water+bird	swan -- stately heavy-bodied aquatic bird with very long neck and usu. white plumage as an adult	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 595 	bahconbeza	dbx_b_index.htm#bahconbeza	n. modif.	outside+{opposite}+absence+{noun-modifier}	hollow	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 744 	buddin	dbx_b_index.htm#buddin	n.	future+day	tomorrow -- the next day, the day after, following today [av	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2717 	levcon	dbx_l_index.htm#levcon	n.	left+{opposite}	right side -- side facing east when one is facing north	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3532 	nerlocmuh	dbx_n_index.htm#nerlocmuh	n.	black+location+rodent	groundhog, woodchuck (Marmota monax)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3537 	nermuh	dbx_n_index.htm#nermuh	n.	black+rodent	black rat (Rattus rattus)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2718 	levconmovo	dbx_l_index.htm#levconmovo	prep.	left+{opposite}+movement+{preposition}	rightward -- motion preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2719 	levcono	dbx_l_index.htm#levcono	prep.	left+{opposite}+{preposition}	right of -- position preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3547 	nestmuh	dbx_n_index.htm#nestmuh	n.	nest+rodent	house mouse (Mus musculus)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2720 	levcontempo	dbx_l_index.htm#levcontempo	prep.	left+{opposite}+time+{preposition}	rightward into an alternate timeline -- time preposition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1003 	carascon	dbx_c_index.htm#carascon	n.	love+{opposite}	hatred -- a feeling of dislike so strong that it demands action	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 697 	binbahcomanjhasal	dbx_b_index.htm#binbahcomanjhasal	n.	building+outside+eating+event	picnic	JEFL	Unproofed	12/11/99 	NA	NA	12/11/99 	NA
 1768 	dinarbezper	dbx_d_index.htm#dinarbezper	n.	money+absence+person	poor -- one or many having little money or few possessions	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1769 	dinarbin	dbx_d_index.htm#dinarbin	n.	money+building	bank, monetary institution	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 698 	binbezper	dbx_b_index.htm#binbezper	n.	building+absence+person	homeless person	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 660 	barcost	dbx_b_index.htm#barcost	n.	bar+bone	spine, backbone -- the series of vertebrae forming the axis of the skeleton and protecting the spinal cord	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 700 	bincampmurl	dbx_b_index.htm#bincampmurl	n.	building+field+wall	fence -- a barrier that serves to enclose an area	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 3563 	nilmarmamton	dbx_n_index.htm#nilmarmamton	n.	blue+ocean+mammal+{augmentative}	blue whale (Balaenoptera musculus) -- the largest mammal in the world	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 596 	bahconhand	dbx_b_index.htm#bahconhand	n.	outside+{opposite}+hand	palm -- the inner surface of the hand from the wrist to the base of the fingers	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1778 	dinarsirc	dbx_d_index.htm#dinarsirc	n.	money+circle	coin -- a metal piece (usu. a disc) used as currency	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 702 	bincogper	dbx_b_index.htm#bincogper	n.	building+knowledge+person	guest -- visitor to whom hospitality is extended	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4408 	sucarluftjebmam	dbx_s_index.htm#sucarluftjebmam	n.	sugar+air+pocket+mammal	sugar glider (Petaurus breviceps)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2193 	garmset	dbx_g_index.htm#garmset	n.	communication-unit+set	record -- anything providing permanent evidence of or information about past events	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 597 	bahconmentvoc	dbx_b_index.htm#bahconmentvoc	n.	outside+{opposite}+mind+word	idea, concept -- the content of cognition	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2195 	garmtongurp	dbx_g_index.htm#garmtongurp	n.	communication-unit+{augmentative}+group	file, dossier -- a collection of papers containing detailed information about a particular person or subject	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 704 	bindarg	dbx_b_index.htm#bindarg	n.	building+road	street -- a thoroughfare in a town or city including sidewalks	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 2752 	licvaston	dbx_l_index.htm#licvaston	n.	liquid+container+{augmentative}	barrel, cask -- a cylindrical container that holds liquids	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1782 	dinartom	dbx_d_index.htm#dinartom	n.	money+atom	gold, Au -- a soft yellow malleable ductile metallic element	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 4422 	sucio	dbx_s_index.htm#sucio	n.	happiness+{preposition}+{opposite}	I express happiness -- state of well-being characterised by emotions ranging from contentment to intense joy	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1123 	catohhandmam	dbx_c_index.htm#catohhandmam	n.	cat+hand+mammal	lemur (Lemuridae)	HMM	Proofread	12/11/99 	NA	NA	12/11/99 	NA
 1517 	costpict	dbx_c_index.htm#costpict	n.	bone+picture	X-ray -- a photograph of a person or animal taken with X-rays	JAH	Proofread	12/11/99 	NA	NA	12/11/99 	NA
